Fecha de esterilización;Codigo Departamento;Departamento;Codigo Municipio;Municipio;Latitud;Longitud;Lugar del Municipio ;Sexo;Tipo de Animal;Total Esterizaciones
13/07/2024;76;Valle del Cauca;76497;Obando;45.753.928.722.886.100;-7.597.207.939.009.910;Consultorio Veterinario;Hembras;Caninos;12
13/07/2024;76;Valle del Cauca;76497;Obando;45.753.928.722.886.100;-7.597.207.939.009.910;Consultorio Veterinario;Machos;Caninos;10
13/07/2024;76;Valle del Cauca;76497;Obando;45.753.928.722.886.100;-7.597.207.939.009.910;Consultorio Veterinario;Hembras;Felinos;6
13/07/2024;76;Valle del Cauca;76497;Obando;45.753.928.722.886.100;-7.597.207.939.009.910;Consultorio Veterinario;Machos;Felinos;4
10/08/2024;76;Valle del Cauca;76001;Cali;3.454.710.608.594.070;-7.653.418.371.894.120;Polideportivo Metropolit Norte;Hembras;Canino;19
10/08/2024;76;Valle del Cauca;76001;Cali;3.454.710.608.594.070;-7.653.418.371.894.120;Polideportivo Metropolit Norte;Machos;Canino;13
10/08/2024;76;Valle del Cauca;76001;Cali;3.454.710.608.594.070;-7.653.418.371.894.120;Polideportivo Metropolit Norte;Hembras;Felinos;2
10/08/2024;76;Valle del Cauca;76001;Cali;3.454.710.608.594.070;-7.653.418.371.894.120;Polideportivo Metropolit Norte;Machos;Felinos;6
19/08/2024;76;Valle del Cauca;76318;Guacarí;3.764.245.397.710.900;-7.633.423.086.408.020;Parque Principal;Hembras;Canino;14
19/08/2024;76;Valle del Cauca;76318;Guacarí;3.764.245.397.710.900;-7.633.423.086.408.020;Parque Principal;Machos;Canino;10
19/08/2024;76;Valle del Cauca;76318;Guacarí;3.764.245.397.710.900;-7.633.423.086.408.020;Parque Principal;Hembras;Felinos;11
19/08/2024;76;Valle del Cauca;76318;Guacarí;3.764.245.397.710.900;-7.633.423.086.408.020;Parque Principal;Machos;Felinos;3
21/08/2024;76;Valle del Cauca;76736;Sevilla;4.265.394.045.050.650;-7.593.416.369.649.170;Biblioteca Municipal;Hembras;Canino;17
21/08/2024;76;Valle del Cauca;76736;Sevilla;4.265.394.045.050.650;-7.593.416.369.649.170;Biblioteca Municipal;Machos;Canino;10
21/08/2024;76;Valle del Cauca;76736;Sevilla;4.265.394.045.050.650;-7.593.416.369.649.170;Biblioteca Municipal;Hembras;Felinos;10
21/08/2024;76;Valle del Cauca;76736;Sevilla;4.265.394.045.050.650;-7.593.416.369.649.170;Biblioteca Municipal;Machos;Felinos;11
22/08/2024;76;Valle del Cauca;76122;Caicedonia;43.315.158.576.977.500;-75.829.255.203.596;Coliseo CIC;Hembras;Canino;11
22/08/2024;76;Valle del Cauca;76122;Caicedonia;43.315.158.576.977.500;-75.829.255.203.596;Coliseo CIC;Machos;Canino;7
22/08/2024;76;Valle del Cauca;76122;Caicedonia;43.315.158.576.977.500;-75.829.255.203.596;Coliseo CIC;Hembras;Felinos;13
22/08/2024;76;Valle del Cauca;76122;Caicedonia;43.315.158.576.977.500;-75.829.255.203.596;Coliseo CIC;Machos;Felinos;8
23/08/2024;76;Valle del Cauca;76364;Jamundí;32.613.358.457.008.200;-765.406.097.901.073;Parque Barrio Bonanza;Hembras;Canino;19
23/08/2024;76;Valle del Cauca;76364;Jamundí;32.613.358.457.008.200;-765.406.097.901.073;Parque Barrio Bonanza;Machos;Canino;8
23/08/2024;76;Valle del Cauca;76364;Jamundí;32.613.358.457.008.200;-765.406.097.901.073;Parque Barrio Bonanza;Hembras;Felinos;12
23/08/2024;76;Valle del Cauca;76364;Jamundí;32.613.358.457.008.200;-765.406.097.901.073;Parque Barrio Bonanza;Machos;Felinos;11
27/08/2024;76;Valle del Cauca;76622;Roldanillo;4.411.284.145.486.310;-7.615.434.946.126.530;La Granja;Hembras;Canino;17
27/08/2024;76;Valle del Cauca;76622;Roldanillo;4.411.284.145.486.310;-7.615.434.946.126.530;La Granja;Machos;Canino;7
27/08/2024;76;Valle del Cauca;76622;Roldanillo;4.411.284.145.486.310;-7.615.434.946.126.530;La Granja;Hembras;Felinos;11
27/08/2024;76;Valle del Cauca;76622;Roldanillo;4.411.284.145.486.310;-7.615.434.946.126.530;La Granja;Machos;Felinos;8
28/08/2024;76;Valle del Cauca;76100;Bolívar;4.337.282.067.302.530;-7.618.425.796.126.580;Parque Principal;Hembras;Canino;20
28/08/2024;76;Valle del Cauca;76100;Bolívar;4.337.282.067.302.530;-7.618.425.796.126.580;Parque Principal;Machos;Canino;8
28/08/2024;76;Valle del Cauca;76100;Bolívar;4.337.282.067.302.530;-7.618.425.796.126.580;Parque Principal;Hembras;Felinos;12
28/08/2024;76;Valle del Cauca;76100;Bolívar;4.337.282.067.302.530;-7.618.425.796.126.580;Parque Principal;Machos;Felinos;8
29/08/2024;76;Valle del Cauca;76890;Yotoco;3.860.448.294.971.170;-7.638.545.702.078.370;Cancha Aux;Hembras;Canino;15
29/08/2024;76;Valle del Cauca;76890;Yotoco;3.860.448.294.971.170;-7.638.545.702.078.370;Cancha Aux;Machos;Canino;5
29/08/2024;76;Valle del Cauca;76890;Yotoco;3.860.448.294.971.170;-7.638.545.702.078.370;Cancha Aux;Hembras;Felinos;4
29/08/2024;76;Valle del Cauca;76890;Yotoco;3.860.448.294.971.170;-7.638.545.702.078.370;Cancha Aux;Machos;Felinos;0
30/08/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Polideportivo;Hembras;Canino;20
30/08/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Polideportivo;Machos;Canino;6
30/08/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Polideportivo;Hembras;Felinos;23
30/08/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Polideportivo;Machos;Felinos;3
3/09/2024;76;Valle del Cauca;76130;Cartago;3.409.347.509.461.260;-7.634.781.797.045.050;Coliseo Isleta;Hembras;Canino;14
3/09/2024;76;Valle del Cauca;76130;Cartago;3.409.347.509.461.260;-7.634.781.797.045.050;Coliseo Isleta;Machos;Canino;8
3/09/2024;76;Valle del Cauca;76130;Cartago;3.409.347.509.461.260;-7.634.781.797.045.050;Coliseo Isleta;Hembras;Felinos;11
3/09/2024;76;Valle del Cauca;76130;Cartago;3.409.347.509.461.260;-7.634.781.797.045.050;Coliseo Isleta;Machos;Felinos;7
5/09/2024;76;Valle del Cauca;76563;Pradera;342.039.795.490.065;-7.624.224.754.962.120;Coliseo Margaritas;Hembras;Canino;10
5/09/2024;76;Valle del Cauca;76563;Pradera;342.039.795.490.065;-7.624.224.754.962.120;Coliseo Margaritas;Machos;Canino;12
5/09/2024;76;Valle del Cauca;76563;Pradera;342.039.795.490.065;-7.624.224.754.962.120;Coliseo Margaritas;Hembras;Felinos;29
5/09/2024;76;Valle del Cauca;76563;Pradera;342.039.795.490.065;-7.624.224.754.962.120;Coliseo Margaritas;Machos;Felinos;3
6/09/2024;76;Valle del Cauca;76233;Dagua;3.657.627.442.965.970;-7.669.363.723.243.510;Casa de la mujer;Hembras;Canino;7
6/09/2024;76;Valle del Cauca;76233;Dagua;3.657.627.442.965.970;-7.669.363.723.243.510;Casa de la mujer;Machos;Canino;4
6/09/2024;76;Valle del Cauca;76233;Dagua;3.657.627.442.965.970;-7.669.363.723.243.510;Casa de la mujer;Hembras;Felinos;24
6/09/2024;76;Valle del Cauca;76233;Dagua;3.657.627.442.965.970;-7.669.363.723.243.510;Casa de la mujer;Machos;Felinos;13
9/09/2024;76;Valle del Cauca;76834;Tuluá;40.863.619.224.404.000;-761.976.832.422.381;Coliseo de ferias;Hembras;Canino;21
9/09/2024;76;Valle del Cauca;76834;Tuluá;40.863.619.224.404.000;-761.976.832.422.381;Coliseo de ferias;Machos;Canino;8
9/09/2024;76;Valle del Cauca;76834;Tuluá;40.863.619.224.404.000;-761.976.832.422.381;Coliseo de ferias;Hembras;Felinos;12
9/09/2024;76;Valle del Cauca;76834;Tuluá;40.863.619.224.404.000;-761.976.832.422.381;Coliseo de ferias;Machos;Felinos;10
10/09/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;P. bosque municipal;Hembras;Canino;17
10/09/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;P. bosque municipal;Machos;Canino;12
10/09/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;P. bosque municipal;Hembras;Felinos;13
10/09/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;P. bosque municipal;Machos;Felinos;11
11/09/2024;76;Valle del Cauca;76306;Ginebra;37.242.860.580.405.500;-7.626.912.574.961.950;Parque Principal;Hembras;Canino;15
11/09/2024;76;Valle del Cauca;76306;Ginebra;37.242.860.580.405.500;-7.626.912.574.961.950;Parque Principal;Machos;Canino;12
11/09/2024;76;Valle del Cauca;76306;Ginebra;37.242.860.580.405.500;-7.626.912.574.961.950;Parque Principal;Hembras;Felinos;14
11/09/2024;76;Valle del Cauca;76306;Ginebra;37.242.860.580.405.500;-7.626.912.574.961.950;Parque Principal;Machos;Felinos;5
12/09/2024;76;Valle del Cauca;76126;Candelaria;3.954.626.129.719.530;-7.648.322.146.220.290;Parque Principal;Hembras;Canino;12
12/09/2024;76;Valle del Cauca;76126;Candelaria;3.954.626.129.719.530;-7.648.322.146.220.290;Parque Principal;Machos;Canino;7
12/09/2024;76;Valle del Cauca;76126;Candelaria;3.954.626.129.719.530;-7.648.322.146.220.290;Parque Principal;Hembras;Felinos;14
12/09/2024;76;Valle del Cauca;76126;Candelaria;3.954.626.129.719.530;-7.648.322.146.220.290;Parque Principal;Machos;Felinos;6
1/10/2024;76;Valle del Cauca;76250;El Dovio;4.511.535.642.587.150;-7.623.859.573.427.440;Parque Principal;Hembras;Canino;20
